name,product_id,old_price,new_price
икра,13,800,800
баранина,37,559,586.95
масло оливковое,15,450,472.5
свинина,57,450,472.5
кофе без кофеина,43,400,420.0
телятина,87,398,417.9
мед,61,380,399.0
говядина,66,370,388.5
кофе зерновой,7,351,368.55
курица,77,298,312.9
кофе молотый,21,283,297.15
виноград,12,278,291.9
чайный гриб,36,251,263.55
масло кунжутное,59,250,262.5
масло льняное,11,200,210.0
ананас,64,200,210.0
варенье,85,200,210.0
рыба копченая,51,195,204.75
морс брусничный,17,190,199.5
рыба соленая,19,180,189.0
морс клюквенный,69,175,183.75
морс черничный,29,170,178.5
сахар,1,150,157.5
кофе растворимый,25,150,157.5
шпроты,55,150,157.5
сосиски,56,150,157.5
энергетический напиток,30,140,147.0
чай травяной листовой,27,121,127.05
арбуз,16,120,126.0
сок мультифрукт,22,120,126.0
сок апельсиновый,24,120,126.0
сок яблочный,62,120,126.0
сок ананасовый,75,120,126.0
рыба вяленая,68,116,121.8
бананы,65,100,100
макароны,34,98,98
лимонад,35,90,90
мандарины,84,90,90
чай черный листовой,9,84,84
вода негазированная,3,80,80
вода газированная,41,80,80
чай зеленый листовой,45,78,78
мука,53,78,78
апельсины,38,76,76
квас,52,76,76
сливки,28,75,75
масло подсолнечное,70,75,75
яблоки,71,75,75
чипсы,26,70,70
рис,58,70,70
кексы,78,70,70
кофе холодный,86,70,70
гречка,31,67,67
горох,42,66,66
груши,72,66,66
чай травяной в пакетиках,79,65,65
майонез,14,60,60
шоколад черный,33,60,60
мармелад,44,60,60
шоколад белый,60,60,60
молоко,74,60,60
кетчуп,18,58,58
чай черный в пакетиках,76,56,56
овсянка,32,55,55
сухофрукты,49,55,55
вафли,83,55,55
иван-чай в пакетиках,48,51,51
чай зеленый в пакетиках,2,50,50
батон,20,50,50
сметана,47,50,50
жевательная резинка,80,50,50
леденцы,4,46,46
печенье,46,46,46
йогурт,23,45,45
бублики,39,45,45
хлеб,40,40,40
сгущенка,63,39,39
чай холодный,50,35,35
сушки,8,30,30
соль,67,30,30
уксус,81,30,30
лаваш,82,30,30
сухарики,6,25,25
кофе 3 в 1,5,15,15
лепешка,73,15,15
семечки,10,12,12
пакет бумажный,54,1,1
