name,product_id,price
ананас,64,200
апельсины,38,76
арбуз,16,120
бананы,65,100
баранина,37,559
батон,20,50
бублики,39,45
варенье,85,200
вафли,83,55
виноград,12,278
вода газированная,41,80
вода негазированная,3,80
говядина,66,370
горох,42,66
гречка,31,67
груши,72,66
жевательная резинка,80,50
иван-чай в пакетиках,48,51
икра,13,800
йогурт,23,45
квас,52,76
кексы,78,70
кетчуп,18,58
кофе 3 в 1,5,15
кофе без кофеина,43,400
кофе зерновой,7,351
кофе молотый,21,283
кофе растворимый,25,150
кофе холодный,86,70
курица,77,298
лаваш,82,30
леденцы,4,46
лепешка,73,15
лимонад,35,90
майонез,14,60
макароны,34,98
мандарины,84,90
мармелад,44,60
масло кунжутное,59,250
масло льняное,11,200
масло оливковое,15,450
масло подсолнечное,70,75
мед,61,380
молоко,74,60
морс брусничный,17,190
морс клюквенный,69,175
морс черничный,29,170
мука,53,78
овсянка,32,55
пакет бумажный,54,1
печенье,46,46
рис,58,70
рыба вяленая,68,116
рыба копченая,51,195
рыба соленая,19,180
сахар,1,150
свинина,57,450
сгущенка,63,39
семечки,10,12
сливки,28,75
сметана,47,50
сок ананасовый,75,120
сок апельсиновый,24,120
сок мультифрукт,22,120
сок яблочный,62,120
соль,67,30
сосиски,56,150
сухарики,6,25
сухофрукты,49,55
сушки,8,30
телятина,87,398
уксус,81,30
хлеб,40,40
чай зеленый в пакетиках,2,50
чай зеленый листовой,45,78
чайный гриб,36,251
чай травяной в пакетиках,79,65
чай травяной листовой,27,121
чай холодный,50,35
чай черный в пакетиках,76,56
чай черный листовой,9,84
чипсы,26,70
шоколад белый,60,60
шоколад черный,33,60
шпроты,55,150
энергетический напиток,30,140
яблоки,71,75
