name,first_word,price
ананас,АНАНАС,200
апельсины,АПЕЛЬСИНЫ,76
арбуз,АРБУЗ,120
бананы,БАНАНЫ,100
баранина,БАРАНИНА,559
батон,БАТОН,50
бублики,БУБЛИКИ,45
варенье,ВАРЕНЬЕ,200
вафли,ВАФЛИ,55
виноград,ВИНОГРАД,278
вода газированная,ВОДА,80
вода негазированная,ВОДА,80
говядина,ГОВЯДИНА,370
горох,ГОРОХ,66
гречка,ГРЕЧКА,67
груши,ГРУШИ,66
жевательная резинка,ЖЕВАТЕЛЬНАЯ,50
иван-чай в пакетиках,ИВАН-ЧАЙ,51
икра,ИКРА,800
йогурт,ЙОГУРТ,45
квас,КВАС,76
кексы,КЕКСЫ,70
кетчуп,КЕТЧУП,58
кофе 3 в 1,КОФЕ,15
кофе без кофеина,КОФЕ,400
кофе зерновой,КОФЕ,351
кофе молотый,КОФЕ,283
кофе растворимый,КОФЕ,150
кофе холодный,КОФЕ,70
курица,КУРИЦА,298
лаваш,ЛАВАШ,30
леденцы,ЛЕДЕНЦЫ,46
лепешка,ЛЕПЕШКА,15
лимонад,ЛИМОНАД,90
майонез,МАЙОНЕЗ,60
макароны,МАКАРОНЫ,98
мандарины,МАНДАРИНЫ,90
мармелад,МАРМЕЛАД,60
масло кунжутное,МАСЛО,250
масло льняное,МАСЛО,200
масло оливковое,МАСЛО,450
масло подсолнечное,МАСЛО,75
мед,МЕД,380
молоко,МОЛОКО,60
морс брусничный,МОРС,190
морс клюквенный,МОРС,175
морс черничный,МОРС,170
мука,МУКА,78
овсянка,ОВСЯНКА,55
пакет бумажный,ПАКЕТ,1
печенье,ПЕЧЕНЬЕ,46
рис,РИС,70
рыба вяленая,РЫБА,116
рыба копченая,РЫБА,195
рыба соленая,РЫБА,180
сахар,САХАР,150
свинина,СВИНИНА,450
сгущенка,СГУЩЕНКА,39
семечки,СЕМЕЧКИ,12
сливки,СЛИВКИ,75
сметана,СМЕТАНА,50
сок ананасовый,СОК,120
сок апельсиновый,СОК,120
сок мультифрукт,СОК,120
сок яблочный,СОК,120
соль,СОЛЬ,30
сосиски,СОСИСКИ,150
сухарики,СУХАРИКИ,25
сухофрукты,СУХОФРУКТЫ,55
сушки,СУШКИ,30
телятина,ТЕЛЯТИНА,398
уксус,УКСУС,30
хлеб,ХЛЕБ,40
чай зеленый в пакетиках,ЧАЙ,50
чай зеленый листовой,ЧАЙ,78
чайный гриб,ЧАЙНЫЙ,251
чай травяной в пакетиках,ЧАЙ,65
чай травяной листовой,ЧАЙ,121
чай холодный,ЧАЙ,35
чай черный в пакетиках,ЧАЙ,56
чай черный листовой,ЧАЙ,84
чипсы,ЧИПСЫ,70
шоколад белый,ШОКОЛАД,60
шоколад черный,ШОКОЛАД,60
шпроты,ШПРОТЫ,150
энергетический напиток,ЭНЕРГЕТИЧЕСКИЙ,140
яблоки,ЯБЛОКИ,75
