user_id,birth_date
11419,02/09/03
11461,05/11/02
9257,11/07/02
20804,09/01/02
14956,09/08/01
7047,11/06/01
11725,27/05/01
4374,29/04/01
15102,21/04/01
14571,31/03/01
4185,06/02/01
15202,22/01/01
2944,10/12/00
7739,10/12/00
270,04/12/00
17728,02/12/00
19288,24/11/00
8246,28/09/00
4053,23/09/00
5537,18/08/00
18848,01/08/00
12220,19/07/00
5637,01/06/00
3690,25/05/00
16959,23/05/00
6161,15/05/00
10740,05/05/00
16732,03/05/00
6922,02/04/00
12746,07/03/00
2509,07/03/00
18194,06/03/00
12460,06/03/00
20824,05/03/00
15696,01/03/00
5188,24/02/00
164,08/02/00
7165,26/01/00
11943,11/01/00
13271,23/12/99
17901,05/12/99
11392,15/11/99
3316,12/11/99
4634,26/10/99
19759,25/10/99
5521,21/10/99
3275,17/10/99
8936,07/10/99
15832,06/10/99
13803,17/09/99
