name,product_id,price,tax,price_before_tax
икра,13,800,133.33,666.67
баранина,37,559,50.82,508.18
масло оливковое,15,450,40.91,409.09
свинина,57,450,40.91,409.09
говядина,66,370,33.64,336.36
кофе без кофеина,43,400,66.67,333.33
телятина,87,398,66.33,331.67
мед,61,380,63.33,316.67
кофе зерновой,7,351,58.5,292.5
курица,77,298,27.09,270.91
виноград,12,278,25.27,252.73
кофе молотый,21,283,47.17,235.83
масло кунжутное,59,250,22.73,227.27
чайный гриб,36,251,41.83,209.17
масло льняное,11,200,18.18,181.82
ананас,64,200,18.18,181.82
рыба копченая,51,195,17.73,177.27
варенье,85,200,33.33,166.67
морс брусничный,17,190,31.67,158.33
рыба соленая,19,180,30.0,150.0
морс клюквенный,69,175,29.17,145.83
морс черничный,29,170,28.33,141.67
сахар,1,150,13.64,136.36
шпроты,55,150,13.64,136.36
сосиски,56,150,13.64,136.36
кофе растворимый,25,150,25.0,125.0
энергетический напиток,30,140,23.33,116.67
арбуз,16,120,10.91,109.09
рыба вяленая,68,116,10.55,105.45
чай травяной листовой,27,121,20.17,100.83
сок мультифрукт,22,120,20.0,100.0
сок апельсиновый,24,120,20.0,100.0
сок яблочный,62,120,20.0,100.0
сок ананасовый,75,120,20.0,100.0
макароны,34,98,8.91,89.09
бананы,65,100,16.67,83.33
мандарины,84,90,8.18,81.82
лимонад,35,90,15.0,75.0
мука,53,78,7.09,70.91
чай черный листовой,9,84,14.0,70.0
апельсины,38,76,6.91,69.09
сливки,28,75,6.82,68.18
масло подсолнечное,70,75,6.82,68.18
яблоки,71,75,6.82,68.18
вода негазированная,3,80,13.33,66.67
вода газированная,41,80,13.33,66.67
чай зеленый листовой,45,78,13.0,65.0
рис,58,70,6.36,63.64
квас,52,76,12.67,63.33
гречка,31,67,6.09,60.91
горох,42,66,6.0,60.0
груши,72,66,6.0,60.0
чипсы,26,70,11.67,58.33
кексы,78,70,11.67,58.33
кофе холодный,86,70,11.67,58.33
молоко,74,60,5.45,54.55
чай травяной в пакетиках,79,65,10.83,54.17
майонез,14,60,10.0,50.0
овсянка,32,55,5.0,50.0
шоколад черный,33,60,10.0,50.0
мармелад,44,60,10.0,50.0
шоколад белый,60,60,10.0,50.0
вафли,83,55,5.0,50.0
кетчуп,18,58,9.67,48.33
чай черный в пакетиках,76,56,9.33,46.67
сухофрукты,49,55,9.17,45.83
батон,20,50,4.55,45.45
сметана,47,50,4.55,45.45
иван-чай в пакетиках,48,51,8.5,42.5
чай зеленый в пакетиках,2,50,8.33,41.67
жевательная резинка,80,50,8.33,41.67
йогурт,23,45,4.09,40.91
бублики,39,45,4.09,40.91
леденцы,4,46,7.67,38.33
печенье,46,46,7.67,38.33
хлеб,40,40,3.64,36.36
сгущенка,63,39,3.55,35.45
чай холодный,50,35,5.83,29.17
сушки,8,30,2.73,27.27
соль,67,30,2.73,27.27
лаваш,82,30,2.73,27.27
уксус,81,30,5.0,25.0
сухарики,6,25,2.27,22.73
лепешка,73,15,1.36,13.64
кофе 3 в 1,5,15,2.5,12.5
семечки,10,12,1.09,10.91
пакет бумажный,54,1,0.17,0.83
