courier_id,birth_year
83,unknown
187,unknown
200,unknown
232,unknown
411,unknown
450,unknown
467,unknown
481,unknown
726,unknown
790,unknown
849,unknown
1016,unknown
1462,unknown
1582,unknown
1644,unknown
1652,unknown
1700,unknown
1756,unknown
1810,unknown
2091,unknown
2128,unknown
2141,unknown
2212,unknown
2233,unknown
2239,unknown
2656,unknown
2867,unknown
2963,unknown
1592,2007
2557,2007
1885,2006
946,2005
1741,2005
2162,2005
2695,2004
7,2003
845,2003
1354,2003
1638,2003
1696,2003
1980,2003
2228,2003
2476,2003
395,2002
417,2002
516,2002
741,2002
906,2002
1051,2002
1114,2002
1348,2002
1555,2002
1570,2002
1709,2002
1730,2002
1907,2002
1993,2002
2058,2002
2188,2002
2194,2002
2285,2002
2296,2002
2308,2002
2322,2002
2386,2002
2489,2002
2976,2002
282,2001
336,2001
405,2001
733,2001
869,2001
1083,2001
1133,2001
1213,2001
1244,2001
1495,2001
1663,2001
1725,2001
1794,2001
1893,2001
1937,2001
2003,2001
2024,2001
2664,2001
2737,2001
2747,2001
2947,2001
3022,2001
3092,2001
3157,2001
120,2000
155,2000
162,2000
315,2000
327,2000
440,2000
447,2000
494,2000
501,2000
565,2000
603,2000
607,2000
692,2000
835,2000
853,2000
885,2000
955,2000
963,2000
1138,2000
1189,2000
1191,2000
1305,2000
1370,2000
1477,2000
1560,2000
1573,2000
1634,2000
1722,2000
1739,2000
1916,2000
1969,2000
1986,2000
2079,2000
2165,2000
2289,2000
2542,2000
2606,2000
2754,2000
3088,2000
4,1999
54,1999
95,1999
143,1999
149,1999
219,1999
225,1999
246,1999
248,1999
348,1999
373,1999
432,1999
604,1999
639,1999
677,1999
781,1999
886,1999
898,1999
1053,1999
1104,1999
1112,1999
1118,1999
1219,1999
1241,1999
1248,1999
1270,1999
1320,1999
1404,1999
1609,1999
1622,1999
1629,1999
1746,1999
1766,1999
1790,1999
1811,1999
1818,1999
1836,1999
1844,1999
1914,1999
2019,1999
2103,1999
2146,1999
2218,1999
2247,1999
2271,1999
2406,1999
2409,1999
2456,1999
2469,1999
2482,1999
2513,1999
2527,1999
2530,1999
2637,1999
2743,1999
2803,1999
2817,1999
2874,1999
2882,1999
2971,1999
2982,1999
3036,1999
3050,1999
3099,1999
3155,1999
5,1998
21,1998
113,1998
123,1998
131,1998
142,1998
183,1998
202,1998
214,1998
222,1998
313,1998
374,1998
376,1998
377,1998
424,1998
430,1998
442,1998
457,1998
509,1998
542,1998
569,1998
571,1998
572,1998
593,1998
621,1998
642,1998
646,1998
683,1998
742,1998
807,1998
827,1998
832,1998
857,1998
943,1998
945,1998
979,1998
1010,1998
1044,1998
1063,1998
1066,1998
1125,1998
1176,1998
1234,1998
1268,1998
1317,1998
1376,1998
1386,1998
1413,1998
1458,1998
1479,1998
1480,1998
1605,1998
1690,1998
1714,1998
1719,1998
1851,1998
1900,1998
1934,1998
1951,1998
1954,1998
1958,1998
1971,1998
1984,1998
2013,1998
2035,1998
2073,1998
2081,1998
2152,1998
2198,1998
2281,1998
2351,1998
2422,1998
2423,1998
2462,1998
2474,1998
2529,1998
2538,1998
2563,1998
2570,1998
2675,1998
2682,1998
2751,1998
2776,1998
2779,1998
2793,1998
2795,1998
2798,1998
2809,1998
2814,1998
2859,1998
2903,1998
2981,1998
2988,1998
3001,1998
3011,1998
3143,1998
3154,1998
15,1997
17,1997
28,1997
112,1997
124,1997
139,1997
152,1997
212,1997
233,1997
250,1997
260,1997
321,1997
326,1997
338,1997
421,1997
460,1997
510,1997
535,1997
545,1997
562,1997
