name,product_id,price,tax,price_before_tax
икра,13,800,133.33,666.67
баранина,37,559,93.17,465.83
масло оливковое,15,450,75.0,375.0
свинина,57,450,75.0,375.0
кофе без кофеина,43,400,66.67,333.33
телятина,87,398,66.33,331.67
мед,61,380,63.33,316.67
говядина,66,370,61.67,308.33
кофе зерновой,7,351,58.5,292.5
курица,77,298,49.67,248.33
кофе молотый,21,283,47.17,235.83
виноград,12,278,46.33,231.67
чайный гриб,36,251,41.83,209.17
масло кунжутное,59,250,41.67,208.33
масло льняное,11,200,33.33,166.67
ананас,64,200,33.33,166.67
варенье,85,200,33.33,166.67
рыба копченая,51,195,32.5,162.5
морс брусничный,17,190,31.67,158.33
рыба соленая,19,180,30.0,150.0
морс клюквенный,69,175,29.17,145.83
морс черничный,29,170,28.33,141.67
сахар,1,150,25.0,125.0
кофе растворимый,25,150,25.0,125.0
шпроты,55,150,25.0,125.0
сосиски,56,150,25.0,125.0
энергетический напиток,30,140,23.33,116.67
чай травяной листовой,27,121,20.17,100.83
арбуз,16,120,20.0,100.0
сок мультифрукт,22,120,20.0,100.0
сок апельсиновый,24,120,20.0,100.0
сок яблочный,62,120,20.0,100.0
сок ананасовый,75,120,20.0,100.0
рыба вяленая,68,116,19.33,96.67
бананы,65,100,16.67,83.33
макароны,34,98,16.33,81.67
лимонад,35,90,15.0,75.0
мандарины,84,90,15.0,75.0
чай черный листовой,9,84,14.0,70.0
вода негазированная,3,80,13.33,66.67
вода газированная,41,80,13.33,66.67
чай зеленый листовой,45,78,13.0,65.0
мука,53,78,13.0,65.0
апельсины,38,76,12.67,63.33
квас,52,76,12.67,63.33
сливки,28,75,12.5,62.5
масло подсолнечное,70,75,12.5,62.5
яблоки,71,75,12.5,62.5
чипсы,26,70,11.67,58.33
рис,58,70,11.67,58.33
кексы,78,70,11.67,58.33
кофе холодный,86,70,11.67,58.33
гречка,31,67,11.17,55.83
горох,42,66,11.0,55.0
груши,72,66,11.0,55.0
чай травяной в пакетиках,79,65,10.83,54.17
майонез,14,60,10.0,50.0
шоколад черный,33,60,10.0,50.0
мармелад,44,60,10.0,50.0
шоколад белый,60,60,10.0,50.0
молоко,74,60,10.0,50.0
кетчуп,18,58,9.67,48.33
чай черный в пакетиках,76,56,9.33,46.67
овсянка,32,55,9.17,45.83
сухофрукты,49,55,9.17,45.83
вафли,83,55,9.17,45.83
иван-чай в пакетиках,48,51,8.5,42.5
чай зеленый в пакетиках,2,50,8.33,41.67
батон,20,50,8.33,41.67
сметана,47,50,8.33,41.67
жевательная резинка,80,50,8.33,41.67
леденцы,4,46,7.67,38.33
печенье,46,46,7.67,38.33
йогурт,23,45,7.5,37.5
бублики,39,45,7.5,37.5
хлеб,40,40,6.67,33.33
сгущенка,63,39,6.5,32.5
чай холодный,50,35,5.83,29.17
сушки,8,30,5.0,25.0
соль,67,30,5.0,25.0
уксус,81,30,5.0,25.0
лаваш,82,30,5.0,25.0
сухарики,6,25,4.17,20.83
кофе 3 в 1,5,15,2.5,12.5
лепешка,73,15,2.5,12.5
семечки,10,12,2.0,10.0
пакет бумажный,54,1,0.17,0.83
