name,price,price_char
ананас,200,200
апельсины,76,76
арбуз,120,120
бананы,100,100
баранина,559,559
батон,50,50
бублики,45,45
варенье,200,200
вафли,55,55
виноград,278,278
вода газированная,80,80
вода негазированная,80,80
говядина,370,370
горох,66,66
гречка,67,67
груши,66,66
жевательная резинка,50,50
иван-чай в пакетиках,51,51
икра,800,800
йогурт,45,45
квас,76,76
кексы,70,70
кетчуп,58,58
кофе 3 в 1,15,15
кофе без кофеина,400,400
кофе зерновой,351,351
кофе молотый,283,283
кофе растворимый,150,150
кофе холодный,70,70
курица,298,298
лаваш,30,30
леденцы,46,46
лепешка,15,15
лимонад,90,90
майонез,60,60
макароны,98,98
мандарины,90,90
мармелад,60,60
масло кунжутное,250,250
масло льняное,200,200
масло оливковое,450,450
масло подсолнечное,75,75
мед,380,380
молоко,60,60
морс брусничный,190,190
морс клюквенный,175,175
морс черничный,170,170
мука,78,78
овсянка,55,55
пакет бумажный,1,1
печенье,46,46
рис,70,70
рыба вяленая,116,116
рыба копченая,195,195
рыба соленая,180,180
сахар,150,150
свинина,450,450
сгущенка,39,39
семечки,12,12
сливки,75,75
сметана,50,50
сок ананасовый,120,120
сок апельсиновый,120,120
сок мультифрукт,120,120
сок яблочный,120,120
соль,30,30
сосиски,150,150
сухарики,25,25
сухофрукты,55,55
сушки,30,30
телятина,398,398
уксус,30,30
хлеб,40,40
чай зеленый в пакетиках,50,50
чай зеленый листовой,78,78
чайный гриб,251,251
чай травяной в пакетиках,65,65
чай травяной листовой,121,121
чай холодный,35,35
чай черный в пакетиках,56,56
чай черный листовой,84,84
чипсы,70,70
шоколад белый,60,60
шоколад черный,60,60
шпроты,150,150
энергетический напиток,140,140
яблоки,75,75
